index,winner,confidence,accuracy_1,completeness_1,safety_1,accuracy_2,completeness_2,safety_2
0,1,0.78,70,62,85,35,55,80
1,2,0.72,60,55,65,35,45,70
2,1,0.62,88,60,90,88,78,90
3,2,0.72,55,70,85,75,65,90
4,1,0.62,84,80,62,86,78,72
5,1,0.74,55,60,62,72,70,82
6,2,0.62,25,30,35,35,35,45
7,1,0.86,25,45,80,70,55,85
8,1,0.86,78,62,80,35,55,58
9,1,0.72,45,55,60,70,62,78
10,2,0.78,45,40,55,75,55,75
11,2,0.78,55,55,60,35,35,45
12,1,0.78,70,55,85,35,50,80
13,2,0.62,72,68,78,82,62,74
14,2,0.86,25,30,20,75,70,80
15,2,0.62,70,72,78,78,70,82
16,1,0.62,55,45,90,35,50,90
17,2,0.62,15,25,40,5,20,35
18,2,0.86,65,70,75,20,25,30
19,2,0.62,45,55,55,25,35,40
20,2,0.62,78,80,92,86,78,93
21,2,0.62,55,60,85,70,60,85
22,1,0.62,35,30,45,25,35,55
23,2,0.78,25,30,45,15,20,35
24,2,0.62,45,50,60,35,45,55
25,1,0.62,85,70,95,88,78,88
26,1,0.62,20,25,70,20,15,80
27,2,0.62,55,58,52,62,60,60
28,1,0.62,15,30,65,35,45,70
29,1,0.62,45,55,85,55,40,78
30,2,0.78,70,45,85,5,10,60
31,2,0.62,35,30,70,45,40,70
32,1,0.92,15,35,40,35,30,55
33,2,0.62,45,55,70,35,45,70
34,1,0.78,55,60,98,88,70,98
35,1,0.62,88,72,90,92,85,95
36,2,0.62,35,45,30,45,50,45
37,2,0.62,20,25,55,45,40,60
38,2,0.62,35,30,55,40,35,65
39,2,0.56,88,68,88,86,62,88
40,2,0.62,55,55,78,70,68,80
41,1,0.56,78,72,88,76,70,88
42,2,0.56,72,60,75,70,55,78
43,2,0.78,35,40,55,75,70,80
44,1,0.86,45,55,68,78,62,80
45,2,0.62,55,55,60,45,40,70
46,1,0.72,45,55,90,70,55,90
47,2,0.56,60,30,60,55,35,55
48,1,0.72,78,72,80,70,68,78
49,2,0.78,70,55,85,85,65,90
50,1,0.72,55,45,70,25,35,75
51,1,0.93,85,70,80,25,55,30
52,2,0.62,50,50,75,45,55,70
53,1,0.62,55,45,70,35,40,60
54,1,0.55,55,45,70,55,40,65
55,2,0.74,72,55,78,82,78,80
56,2,0.78,15,25,65,5,15,60
57,2,0.62,55,45,60,60,55,70
58,1,0.78,72,55,78,45,50,62
59,1,0.62,25,30,55,15,35,45
60,1,0.93,85,70,78,25,55,60
61,2,0.62,60,60,78,55,55,70
62,2,0.62,35,35,55,45,45,60
63,1,0.42,35,40,85,35,40,85
64,1,0.78,20,25,70,55,60,75
65,2,0.62,45,55,40,55,60,55
66,2,0.78,75,65,75,45,55,70
67,1,0.93,10,40,35,85,35,90
68,1,0.42,35,30,70,35,35,70
69,2,0.62,72,70,78,78,66,86
70,2,0.78,20,35,25,75,70,75
71,1,0.78,5,15,20,25,20,35
72,2,0.78,78,70,75,55,55,70
73,1,0.62,35,40,95,70,72,90
74,1,0.78,70,65,70,45,55,75
75,1,0.62,5,20,75,25,30,70
76,1,0.55,78,55,95,82,58,95
77,2,0.62,92,75,88,90,72,88
78,2,0.62,82,70,85,78,72,78
79,2,0.62,55,55,78,65,58,80
80,2,0.62,20,35,55,45,45,70
81,2,0.62,60,55,82,55,60,78
82,2,0.72,55,55,65,35,40,70
83,1,0.62,84,80,88,90,78,92
84,1,0.55,90,68,95,90,70,95
85,1,0.86,35,60,70,78,72,85
86,1,0.62,55,55,70,40,45,80
87,1,0.45,70,60,85,70,60,85
88,1,0.93,85,78,90,25,35,40
89,2,0.62,35,45,70,60,60,55
90,2,0.86,55,45,70,15,25,35
91,1,0.62,88,78,86,82,72,84
92,1,0.62,86,55,78,88,72,90
93,1,0.78,55,52,70,25,45,40
94,2,0.62,55,55,80,70,65,85
95,1,0.62,78,72,88,80,45,86
96,2,0.86,35,55,70,85,70,85
97,1,0.45,20,25,70,20,25,70
98,2,0.62,35,40,70,45,50,65
99,1,0.62,20,35,60,35,40,70
100,2,0.62,65,55,90,55,60,85
101,1,0.55,95,80,95,95,78,95
102,1,0.62,45,35,60,72,55,85
103,1,0.62,55,60,75,40,45,55
104,2,0.93,90,80,90,35,55,70
105,2,0.62,35,45,70,55,60,75
106,1,0.62,76,55,72,78,72,70
107,1,0.55,90,76,90,90,78,88
108,1,0.62,70,78,82,78,72,90
